County,gas_prod,longitude,latitude,depth,elevation,well,status,field,geology
Erie,29665.0,-78.59025,42.911562,1226.0,810.9230769230769,gas wildcat,shut in,Alden-Lancaster,Medina
Chenango,7847.0,-75.624164,42.672048,3480.0,1569.0,gas extension,inactive,Beaver Meadow - Vernon pool,Vernon
Erie,14228.0,-78.60054,42.8664,1327.0,760.0,gas development,inactive,Alden-Lancaster,Medina
Erie,5089.0,-78.91326,42.68033,1659.0,900.9666666666668,gas development,shut in,Brant-Eden,Medina
Erie,7163.0,-78.60851,42.83478,1520.0,835.0,gas development,plugged abandoned,Elma,Grimsby
Chautauqua,15454.0,-79.33844,42.45664,2160.0,668.0,gas development,inactive,Lakeshore,Medina
Erie,6844.0,-78.71382,42.5967,2491.0,1040.0,gas development,shut in,Concord,Medina
Erie,21647.0,-79.04044,42.68188,1463.0,706.843373493976,gas development,shut in,Lakeview,Medina
Wyoming,8844.0,-78.41087,42.64255,3033.0,1475.0,gas development,inactive,Java,Medina
Chautauqua,10381.0,-79.59569,42.17525,3978.0,1572.2690058479532,gas development,inactive,Lakeshore,Medina
Chautauqua,24549.0,-79.207782,42.382179,3600.0,1725.0,gas development,inactive,Lakeshore,Medina
Chautauqua,3393.0,-79.4642,42.10038,4080.0,1570.0,gas development,shut in,Lakeshore,Medina
Chautauqua,13769.0,-79.54623,42.07445,4479.0,1811.0,gas development,inactive,Lakeshore,Medina
Chautauqua,24201.0,-79.55231,42.01207,4502.0,1690.0,gas development,inactive,Lakeshore,Medina
Chautauqua,3749.0,-79.267005,42.226353,2466.0,1305.0,oil development,inactive,Gerry-Charlotte,Onondaga
Chautauqua,3718.0,-79.469535,42.059647,4239.0,1500.0,gas development,shut in,Lakeshore,Medina
Chautauqua,2915.0,-79.1945,42.40397,3166.0,1477.0,gas development,shut in,Lakeshore,Medina
Chautauqua,2858.0,-79.46957,42.16587,3956.0,1540.0,gas development,inactive,Lakeshore,Medina
Chautauqua,11330.0,-79.60472,42.20155,3765.0,1495.2429378531074,gas development,inactive,Lakeshore,Medina
Chautauqua,3424.0,-79.29179,42.20672,3690.0,1302.0,gas development,inactive,Lakeshore,Medina
Wyoming,9512.0,-78.41917,42.6508,2850.0,1375.0,gas development,inactive,Java,Medina
Wyoming,9244.0,-78.41476,42.64637,2935.0,1425.0,gas development,inactive,Java,Medina
Chautauqua,5396.0,-79.60734,42.18761,3889.0,1513.5,gas development,inactive,Lakeshore,Medina
Chautauqua,12434.0,-79.60488,42.19194,3819.0,1501.9213483146068,gas development,inactive,Lakeshore,Medina
Chautauqua,7322.0,-79.607,42.19689,3807.0,1501.6971428571428,gas development,inactive,Lakeshore,Medina
Chautauqua,9431.0,-79.25883,42.22731,3083.0,1450.0,gas wildcat,inactive,Gerry-Charlotte,Onondaga
Wyoming,4361.0,-78.342951,42.855473,2070.0,1332.0,gas development,plugged abandoned,Danley Corners,Medina
Wyoming,5109.0,-77.98756,42.80564,2365.0,1279.2272727272727,gas development,inactive,Leicester,Medina
Chautauqua,16267.0,-79.13746,42.31184,3608.0,1460.0,gas development,inactive,Lakeshore,Grimsby
Chautauqua,14984.0,-79.13729,42.31585,3674.0,1480.0,gas development,inactive,Lakeshore,Medina
Chautauqua,8263.0,-79.13881,42.38408,3527.0,1537.625,gas development,inactive,Lakeshore,Medina
Chautauqua,13246.0,-79.24195,42.34761,3770.0,1910.0,gas development,inactive,Lakeshore,Medina
Chautauqua,4862.0,-79.279108,42.014463,677.0,1520.0,oil development,active,Busti,Glade
Chautauqua,20834.0,-79.15814,42.25116,4017.0,1654.0,gas development,inactive,Lakeshore,Medina
Chautauqua,2728.0,-79.3565,42.3765,3258.0,1565.0,gas development,inactive,Lakeshore,Medina
Chautauqua,4734.0,-79.36352,42.39479,2693.0,1047.0,gas development,shut in,Lakeshore,Medina
Wyoming,19435.0,-78.32939,42.84212,2223.0,1415.0,gas development,plugged abandoned,Danley Corners,Medina
Chautauqua,16132.0,-79.28041,42.44343,2410.0,932.0,gas development,inactive,Lakeshore,Grimsby
Chautauqua,4057.0,-79.23529,42.2557,3949.0,1700.0,gas development,shut in,Lakeshore,Medina
Chautauqua,5978.0,-79.48109,42.06208,4232.0,1538.0,gas development,shut in,Lakeshore,Medina
Chautauqua,5712.0,-79.49899,42.13614,3989.0,1620.0,gas development,shut in,Lakeshore,Medina
Chautauqua,2652.0,-79.36787,42.38813,2935.0,1219.0,gas development,shut in,Lakeshore,Medina
Chautauqua,2185.0,-79.272917,42.216106,2620.0,1263.0,oil development,inactive,Gerry-Charlotte,Onondaga
Chautauqua,2769.0,-79.48608,42.10635,2913.0,1521.0,oil development,shut in,North Harmony,Onondaga-Bass Island
Chautauqua,23834.0,-79.44745,42.34674,3214.0,1315.0,gas development,shut in,Lakeshore,Medina
Cayuga,5775.0,-76.659369,42.880884,2036.0,560.0,gas development,inactive,West Auburn,Queenston
Allegany,5790.0,-78.10586,42.06726,1823.0,2240.0,oil development,active,Richburg,Waugh & Porter
Allegany,7298.0,-78.10644,42.0663,1914.0,2300.0,oil development,active,Richburg,Richburg-Waugh & Porter
Allegany,7266.0,-78.107994,42.065871,1914.0,2275.0,oil development,active,Richburg,Richburg-Waugh & Porter
Allegany,5757.0,-78.106793,42.065215,1823.0,2305.0,oil development,active,Richburg,Richburg-Waugh & Porter
Chautauqua,2480.0,-79.18297,42.36707,3305.0,1582.4255319148936,gas development,shut in,Lakeshore,Medina
Chautauqua,11147.0,-79.1815,42.35938,3330.0,1456.0,gas development,shut in,Lakeshore,Medina
Chautauqua,6511.0,-79.07261,42.29693,3510.0,1278.0,gas development,inactive,Lakeshore,Medina
Chautauqua,3084.0,-79.18037,42.3722,3275.0,1386.0,gas development,shut in,Lakeshore,Medina
Chautauqua,5327.0,-79.4515,42.1047,4142.0,1520.0,gas development,shut in,Lakeshore,Medina
Chautauqua,14910.0,-79.092497,42.494878,2550.0,1012.0,gas development,shut in,Lakeshore,Medina
Chautauqua,27558.0,-79.3993,42.0491,4414.0,1467.0,gas development,shut in,Lakeshore,Medina
Chautauqua,12763.0,-79.52409,42.37296,2300.0,612.0,gas development,inactive,Lakeshore,Medina
Chautauqua,12781.0,-79.59879,42.20486,3649.0,1500.0,gas development,inactive,Lakeshore,Medina
Chautauqua,18086.0,-79.11883,42.29165,3647.0,1452.0,gas development,inactive,Lakeshore,Medina
Chautauqua,2643.0,-79.1879,42.3784,3224.0,1420.0,gas development,shut in,Lakeshore,Medina
Wyoming,8337.0,-77.99009,42.79969,2330.0,1224.0,gas development,inactive,Leicester,Medina
Chautauqua,11698.0,-79.35688,42.03443,4635.0,1670.0,gas development,shut in,Lakeshore,Medina
Chautauqua,15535.0,-79.42981,42.06338,4451.0,1669.0,gas development,inactive,Lakeshore,Medina
Chautauqua,4240.0,-79.29605,42.05836,4392.0,1430.0,gas development,inactive,Lakeshore,Grimsby
Chautauqua,8234.0,-79.60345,42.18481,3949.0,1526.254143646409,gas development,inactive,Lakeshore,Medina
Chautauqua,18044.0,-79.36966,42.05906,4343.0,1530.0,gas development,shut in,Lakeshore,Medina
Erie,14500.0,-79.04167,42.64178,1680.0,650.0,gas development,inactive,Lakeview,Medina
Chautauqua,29506.0,-79.29279,42.22,3633.0,1594.469696969697,gas development,inactive,Lakeshore,Medina
Chautauqua,2354.0,-79.624477,42.19134,3749.0,1620.0,gas development,inactive,Lakeshore,Medina
Chautauqua,5536.0,-79.60521,42.17657,3946.0,1561.1588235294118,gas development,inactive,Lakeshore,Medina
Chautauqua,8504.0,-79.6,42.17892,4030.0,1547.3785310734463,gas development,inactive,Lakeshore,Medina
Chautauqua,2279.0,-79.31305,42.18864,4110.0,1660.0,gas development,inactive,Lakeshore,Grimsby
Chautauqua,28879.0,-79.51136,42.30534,3120.0,1270.0,gas development,inactive,Lakeshore,Medina
Erie,11993.0,-78.733108,42.693205,2522.0,1377.0,gas wildcat,shut in,New Field Wildcat,Medina
Chautauqua,27448.0,-79.64097,42.27343,5953.0,1360.0,gas development,shut in,Lakeshore,Medina
Cattaraugus,2584.0,-78.652688,42.020847,1345.0,1513.0,oil development,plugged abandoned,Bradford,"Chipmunk, Bradford 1st,2nd,3rd"
Erie,9536.0,-78.48812,43.03326,756.0,668.0,gas development,plugged abandoned,Akron,Medina
Erie,6660.0,-78.84742,42.66267,2138.0,961.0,gas development,inactive,Brant-Eden,Medina
Erie,8444.0,-78.8396,42.67294,2065.0,965.0,gas development,inactive,Brant-Eden,Medina
Erie,8260.0,-78.8397,42.66859,2095.0,1053.0,gas development,inactive,Brant-Eden,Medina
Erie,14537.0,-78.94058,42.63251,1930.0,760.0,gas development,inactive,Brant-Eden,Grimsby
Erie,3655.0,-78.48902,42.85592,1623.0,972.0,gas development,inactive,Cowlesville,Medina
Erie,2523.0,-78.48908,42.86081,1634.0,962.0,gas development,inactive,Cowlesville,Medina
Chautauqua,25646.0,-79.231813,42.416902,3320.0,1650.0,gas development,shut in,Lakeshore,Medina
Chautauqua,17682.0,-79.4699,42.27813,3337.0,1353.0,gas development,inactive,Lakeshore,Medina
Chautauqua,7360.0,-79.27443,42.2857,3770.0,1612.0,gas development,shut in,Lakeshore,Medina
Chautauqua,6330.0,-79.22674,42.28616,3781.0,1646.0,gas development,inactive,Lakeshore,Medina
Chautauqua,5499.0,-79.44809,42.12556,4058.0,1470.0,gas development,shut in,Lakeshore,Medina
Chautauqua,2342.0,-79.25613,42.52067,1876.0,906.3793103448276,gas development,inactive,Lakeshore,Medina
Cattaraugus,2583.0,-78.65066,42.02107,1351.0,1509.0,oil development,plugged abandoned,Bradford,Bradford & Chipmunk
Erie,20904.0,-78.72774,42.52788,2990.0,1390.0,gas development,inactive,Concord,Grimsby
Chenango,2330.0,-75.643197,42.534655,1500.0,1618.0,gas wildcat,inactive,Longhorn - Hamilton Pool,Hamilton
Chautauqua,14865.0,-79.27743,42.15889,4332.0,1754.0,gas development,inactive,Lakeshore,Medina
Wyoming,11664.0,-78.473077,42.848739,1741.0,1030.0,gas development,inactive,Cowlesville,Medina
Wyoming,2297.0,-78.11616,42.81819,5373.0,1420.0,gas development,inactive,Cascade Brook,Medina
Allegany,3288.0,-77.74999,42.07172,1179.0,2200.0,oil development,plugged abandoned,Beech Hill-Independence,Fulmer Valley
